slug,title,korean,repositories,trendLinked,globalTrend,koreaTrend,bothTrend,maxTrendScore,medianTrendScore,totalStars,medianStars,keyReferences,medianSourceDepth,dominantFeatures,dominantBuckets,dominantDependencies,dominantCommands,dominantRisks,firstInsight
agent-harness-mcp,Agent Harness and MCP,에이전트 하네스/MCP,514,427,340,110,23,250,143,4912595,347,5524,121,"agent-runtime (482), tests-evals (467), retrieval-memory (434), mcp/protocol (412), security-policy (406), cli-first (391), spec-artifacts (381), api/server (351)","docs (512), config (473), eval (464), agentRuntime (456), retrieval (433), entrypoints (420), ci (419), security (406)","agentProtocols (210), llmProviders (152), webRuntime (129), developerSurface (102), modelRuntime (87), observability (60), browserAutomation (54), vectorStores (47)","utility (290), test (206), quality (199), build (194), serve-dev (183), entrypoint (82), container (20)",,"에이전트 하네스/MCP 카테고리는 514개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 83%입니다."
general-ai-open-source,General AI Open Source,일반 AI 오픈소스,268,263,9,254,0,175,80,352233,121,1996,66,"tests-evals (208), retrieval-memory (158), spec-artifacts (124), agent-runtime (91), cli-first (91), api/server (62), security-policy (44), container-deploy (41)","docs (266), eval (203), config (170), retrieval (158), spec (124), entrypoints (111), ci (107), agentRuntime (91)","webRuntime (39), modelRuntime (32), developerSurface (11), llmProviders (8), browserAutomation (6), agentFrameworks (2), observability (2), agentProtocols (1)","build (67), utility (65), quality (59), test (58), serve-dev (49), entrypoint (7), container (4)",,"일반 AI 오픈소스 카테고리는 268개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 98%입니다."
llm-wiki-rag,"LLM Wiki, RAG, and Knowledge",LLM 위키/RAG/지식베이스,172,122,56,69,3,203,87,1098064,466,1784,110,"tests-evals (148), retrieval-memory (143), spec-artifacts (129), agent-runtime (118), cli-first (107), security-policy (93), api/server (84), container-deploy (79)","docs (172), eval (148), retrieval (143), config (142), spec (129), agentRuntime (115), ci (114), entrypoints (114)","modelRuntime (42), agentProtocols (37), webRuntime (36), llmProviders (35), vectorStores (26), developerSurface (20), observability (17), agentFrameworks (12)","utility (64), build (49), test (44), quality (35), serve-dev (35), entrypoint (10), container (5)",,"LLM 위키/RAG/지식베이스 카테고리는 172개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 71%입니다."
ai-infrastructure-serving,AI Infrastructure and Serving,AI 인프라/서빙,75,69,59,12,2,242,140,604742,1070,774,117,"tests-evals (72), retrieval-memory (71), agent-runtime (68), spec-artifacts (59), cli-first (57), api/server (48), container-deploy (48), security-policy (48)","docs (75), eval (72), retrieval (71), agentRuntime (68), config (68), ci (65), spec (59), entrypoints (58)","modelRuntime (27), llmProviders (20), webRuntime (20), agentProtocols (14), observability (12), developerSurface (11), agentFrameworks (10), vectorStores (8)","utility (33), test (23), build (21), quality (21), serve-dev (16), entrypoint (2), container (1)",,"AI 인프라/서빙 카테고리는 75개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 92%입니다."
developer-productivity,Developer Productivity and DevTools,개발 생산성/DevTools,49,48,17,31,0,183,102,522367,419,446,95,"tests-evals (41), retrieval-memory (33), security-policy (33), agent-runtime (31), cli-first (26), api/server (19), mcp/protocol (19), spec-artifacts (19)","docs (49), eval (40), ci (35), config (33), retrieval (33), security (33), agentRuntime (30), entrypoints (30)","agentProtocols (12), developerSurface (9), llmProviders (4), webRuntime (4), modelRuntime (3), observability (2), vectorStores (2), browserAutomation (1)","build (15), test (14), quality (12), utility (12), serve-dev (10), entrypoint (6), container (2)",,"개발 생산성/DevTools 카테고리는 49개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 98%입니다."
eval-observability,"Evals, Observability, and Quality",평가/관측/품질,27,20,6,14,0,160,85,15875,151,255,104,"tests-evals (27), retrieval-memory (20), spec-artifacts (20), agent-runtime (19), security-policy (17), api/server (14), cli-first (14), agent-instructions (12)","docs (27), eval (27), config (24), retrieval (20), spec (20), agentRuntime (19), ci (18), security (17)","llmProviders (8), agentProtocols (6), modelRuntime (5), observability (5), webRuntime (4), agentFrameworks (3), developerSurface (3), vectorStores (3)","utility (11), test (7), build (6), quality (6), serve-dev (4), container (1)",,"평가/관측/품질 카테고리는 27개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 74%입니다."
security-governance,"Security, Governance, and Safety",보안/거버넌스/안전,10,9,1,8,0,177,82,6459,148,68,81,"tests-evals (10), agent-runtime (6), retrieval-memory (6), spec-artifacts (6), security-policy (5), cli-first (4), container-deploy (2), model-runtime (2)","docs (10), eval (9), ci (8), config (8), agentRuntime (6), retrieval (6), spec (6), security (5)","developerSurface (2), modelRuntime (2), agentFrameworks (1), llmProviders (1), observability (1), vectorStores (1), webRuntime (1)","utility (6), test (4), build (2), quality (2), serve-dev (1)",,"보안/거버넌스/안전 카테고리는 10개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 90%입니다."
coding-agent-ide,Coding Agent and IDE,코딩 에이전트/IDE,9,9,9,0,0,175,153,56702,1411,106,125,"agent-runtime (9), cli-first (9), tests-evals (9), retrieval-memory (8), security-policy (8), spec-artifacts (8), agent-instructions (7), mcp/protocol (7)","agentRuntime (9), docs (9), entrypoints (9), eval (9), ci (8), config (8), instruction (8), retrieval (8)","webRuntime (4), browserAutomation (3), developerSurface (3), llmProviders (3), observability (2), agentProtocols (1), vectorStores (1)","test (7), utility (7), build (6), quality (5), container (2), entrypoint (2), serve-dev (2)",,"코딩 에이전트/IDE 카테고리는 9개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 100%입니다."
data-vector-platform,Data and Vector Platforms,데이터/벡터 플랫폼,7,5,3,2,0,209,101,79015,220,81,124,"retrieval-memory (7), tests-evals (7), cli-first (6), spec-artifacts (6), agent-runtime (5), container-deploy (5), api/server (4), security-policy (4)","config (7), docs (7), eval (7), retrieval (7), ci (6), entrypoints (6), spec (6), agentRuntime (5)","vectorStores (3), observability (2), webRuntime (2), agentProtocols (1), developerSurface (1)","utility (5), quality (4), build (3), test (2), container (1), serve-dev (1)",,"데이터/벡터 플랫폼 카테고리는 7개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 71%입니다."
spec-driven,Spec-Driven and Requirements,스펙 드리븐/요구사항,5,0,0,0,0,0,0,537,92,38,84,"agent-runtime (3), spec-artifacts (3), tests-evals (3), retrieval-memory (2), agent-instructions (1), api/server (1), cli-first (1), security-policy (1)","docs (5), agentRuntime (3), eval (3), spec (3), ci (2), config (2), retrieval (2), entrypoints (1)",,"quality (1), utility (1)",,"스펙 드리븐/요구사항 카테고리는 5개 레포로 구성되며, 현재 트렌드 데이터와 직접 연결된 레포 비중은 0%입니다."
