category,slug,repositories,trend_linked,global,korea,meaning,strength,gap,decision,representative_repo,readme,comparative_report
에이전트 하네스/MCP,agent-harness-mcp,514,427,340,110,"MCP, 도구 등록부, 워크플로 오케스트레이션, hooks/skills를 실제 제품 구조에 넣을 때 기준 카테고리로 본다.",test/eval coverage 90%; MCP/tool 경로 76%; retrieval/memory 경로 84%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","MCP, 도구 등록부, 워크플로 오케스트레이션, hooks/skills를 실제 제품 구조에 넣을 때 기준 카테고리로 본다. 먼저 mem0ai/mem0를 구조 기준점으로 보고, 현재성은 mem0ai/mem0와 대조한다.",mem0ai/mem0,reports/source-insights/by-category/agent-harness-mcp/README.md,reports/source-insights/comparative-report.md
일반 AI 오픈소스,general-ai-open-source,268,263,9,254,"넓은 AI 오픈소스 후보를 탐색하되, 특정 설계 패턴은 더 세부 카테고리와 대조해서 읽는다.",트렌드 연결률 98%로 현재성 강함; test/eval coverage 76%,security/policy 경로 16%; CI 경로 40%; 중앙 소스 깊이 60로 직접 확인 필요,"넓은 AI 오픈소스 후보를 탐색하되, 특정 설계 패턴은 더 세부 카테고리와 대조해서 읽는다. 먼저 Aider-AI/aider를 구조 기준점으로 보고, 현재성은 Aider-AI/aider와 대조한다.",Aider-AI/aider,reports/source-insights/by-category/general-ai-open-source/README.md,reports/source-insights/comparative-report.md
LLM 위키/RAG/지식베이스,llm-wiki-rag,172,122,56,69,문서/코드 지식을 수집하고 검색하고 기억으로 유지하는 RAG/knowledge architecture 비교에 쓴다.,test/eval coverage 86%; retrieval/memory 경로 83%; CLI 사용면이 강함,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","문서/코드 지식을 수집하고 검색하고 기억으로 유지하는 RAG/knowledge architecture 비교에 쓴다. 먼저 MervinPraison/PraisonAI를 구조 기준점으로 보고, 현재성은 MervinPraison/PraisonAI와 대조한다.",MervinPraison/PraisonAI,reports/source-insights/by-category/llm-wiki-rag/README.md,reports/source-insights/comparative-report.md
AI 인프라/서빙,ai-infrastructure-serving,75,69,59,12,"모델 서빙, API, 컨테이너, 배포, runtime adapter를 운영 기준으로 비교할 때 쓴다.",트렌드 연결률 92%로 현재성 강함; test/eval coverage 96%; retrieval/memory 경로 95%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","모델 서빙, API, 컨테이너, 배포, runtime adapter를 운영 기준으로 비교할 때 쓴다. 먼저 Mintplex-Labs/anything-llm를 구조 기준점으로 보고, 현재성은 Mintplex-Labs/anything-llm와 대조한다.",Mintplex-Labs/anything-llm,reports/source-insights/by-category/ai-infrastructure-serving/README.md,reports/source-insights/comparative-report.md
개발 생산성/DevTools,developer-productivity,49,48,17,31,"CLI, SDK, 자동화, CI, code search를 개발자 workflow로 묶는 방식을 비교한다.",트렌드 연결률 98%로 현재성 강함; test/eval coverage 82%; retrieval/memory 경로 67%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","CLI, SDK, 자동화, CI, code search를 개발자 workflow로 묶는 방식을 비교한다. 먼저 nilbuild/developer-roadmap를 구조 기준점으로 보고, 현재성은 modelcontextprotocol/csharp-sdk와 대조한다.",nilbuild/developer-roadmap,reports/source-insights/by-category/developer-productivity/README.md,reports/source-insights/comparative-report.md
평가/관측/품질,eval-observability,27,20,6,14,agent/RAG 품질을 운영 중에 측정하고 회귀를 막는 평가/관측성 구조 비교에 쓴다.,test/eval coverage 100%; retrieval/memory 경로 74%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","agent/RAG 품질을 운영 중에 측정하고 회귀를 막는 평가/관측성 구조 비교에 쓴다. 먼저 mock-server/mockserver-monorepo를 구조 기준점으로 보고, 현재성은 mock-server/mockserver-monorepo와 대조한다.",mock-server/mockserver-monorepo,reports/source-insights/by-category/eval-observability/README.md,reports/source-insights/comparative-report.md
보안/거버넌스/안전,security-governance,10,9,1,8,"sandbox, permission, policy, guardrail, secret handling을 agent 실행 안정성 관점에서 본다.",트렌드 연결률 90%로 현재성 강함; test/eval coverage 90%,중앙 소스 깊이 75로 직접 확인 필요,"sandbox, permission, policy, guardrail, secret handling을 agent 실행 안정성 관점에서 본다. 먼저 perplexityai/bumblebee를 구조 기준점으로 보고, 현재성은 perplexityai/bumblebee와 대조한다.",perplexityai/bumblebee,reports/source-insights/by-category/security-governance/README.md,reports/source-insights/comparative-report.md
코딩 에이전트/IDE,coding-agent-ide,9,9,9,0,코딩 에이전트 제품/IDE 루프를 설계할 때 참고 구현 후보로 본다.,트렌드 연결률 100%로 현재성 강함; test/eval coverage 100%; MCP/tool 경로 67%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","코딩 에이전트 제품/IDE 루프를 설계할 때 참고 구현 후보로 본다. 먼저 gastownhall/beads를 구조 기준점으로 보고, 현재성은 gastownhall/beads와 대조한다.",gastownhall/beads,reports/source-insights/by-category/coding-agent-ide/README.md,reports/source-insights/comparative-report.md
데이터/벡터 플랫폼,data-vector-platform,7,5,3,2,embedding/vector/index/query persistence 구조를 고를 때 쓴다.,test/eval coverage 100%; retrieval/memory 경로 100%; 배포/컨테이너 경로 71%,"큰 구조적 공백은 표면상 작지만, 대표 레포별 위험 신호를 확인해야 함","embedding/vector/index/query persistence 구조를 고를 때 쓴다. 먼저 milvus-io/milvus를 구조 기준점으로 보고, 현재성은 milvus-io/milvus와 대조한다.",milvus-io/milvus,reports/source-insights/by-category/data-vector-platform/README.md,reports/source-insights/comparative-report.md
스펙 드리븐/요구사항,spec-driven,5,0,0,0,"요구사항, 설계 문서, acceptance/test trace를 장기 기억으로 남기는 방식 비교에 쓴다.","agent-runtime 60%, spec-artifacts 60%가 주요 강점",트렌드 연결률 0%라 현재성 검증 필요; security/policy 경로 20%; CI 경로 40%,"요구사항, 설계 문서, acceptance/test trace를 장기 기억으로 남기는 방식 비교에 쓴다. 먼저 https-deeplearning-ai/sc-spec-driven-development-files를 구조 기준점으로 보고, 현재성은 https-deeplearning-ai/sc-spec-driven-development-files와 대조한다.",https-deeplearning-ai/sc-spec-driven-development-files,reports/source-insights/by-category/spec-driven/README.md,reports/source-insights/comparative-report.md
