topic,slug,reports,readme,data,description
Start Here,start-here,20,reports/by-topic/start-here/README.md,data/report-categories/start-here.json,High-level maps and entry points for reading the repository.
Category Guides,category-guides,18,reports/by-topic/category-guides/README.md,data/report-categories/category-guides.json,"Generated category pages that group open-source, research, presentation, and trend artifacts."
Full Source Scan and Code Retrieval,full-source-scan,3,reports/by-topic/full-source-scan/README.md,data/report-categories/full-source-scan.json,"How coding agents discover, index, search, and read source code."
Coding Agents and IDEs,coding-agents,85,reports/by-topic/coding-agents/README.md,data/report-categories/coding-agents.json,"Core coding-agent repositories, terminal agents, IDE agents, and code-review agents."
"Agent Harness, MCP, and Orchestration",agent-harness,145,reports/by-topic/agent-harness/README.md,data/report-categories/agent-harness.json,"Agent harness materials, MCP tooling, orchestration, hooks, skills, and workflow infrastructure."
Spec-Driven and Requirements,spec-driven,22,reports/by-topic/spec-driven/README.md,data/report-categories/spec-driven.json,"Spec extraction, requirements, traceability, acceptance criteria, and SDD evidence."
"LLM Wiki, RAG, and Knowledge Bases",llm-wiki,241,reports/by-topic/llm-wiki/README.md,data/report-categories/llm-wiki.json,"LLM wiki, GraphRAG, document knowledge base, ingestion, retrieval, and provenance reports."
Presentations and Conferences,presentations-conferences,8,reports/by-topic/presentations-conferences/README.md,data/report-categories/presentations-conferences.json,"Conference, talk, webinar, and presentation-method research."
AI Usage Trends,ai-usage-trends,3,reports/by-topic/ai-usage-trends/README.md,data/report-categories/ai-usage-trends.json,"Recent AI usage trends from big-tech, Amazon/AWS, Korean conferences, and enterprise adoption signals."
Global Trending Open Source,global-trending-open-source,502,reports/by-topic/global-trending-open-source/README.md,data/report-categories/global-trending-open-source.json,Global trending open-source corpus and per-repository reports.
Korea Trending Open Source,korea-trending-open-source,502,reports/by-topic/korea-trending-open-source/README.md,data/report-categories/korea-trending-open-source.json,"Korean open-source corpus, Korean AI/MCP/RAG projects, and Korean trend reports."
Adjacent AI Infrastructure,adjacent-infrastructure,14,reports/by-topic/adjacent-infrastructure/README.md,data/report-categories/adjacent-infrastructure.json,"Context engineering, RAG infrastructure, vector databases, local LLM serving, evals, and observability."
Clone Structure and Inventory,clone-structure-inventory,128,reports/by-topic/clone-structure-inventory/README.md,data/report-categories/clone-structure-inventory.json,"Clone inventories, structural analysis, manifests, source directories, and per-repository structure reports."
Comparisons and Similarity Maps,comparisons,17,reports/by-topic/comparisons/README.md,data/report-categories/comparisons.json,"Cross-repository comparisons, taxonomy matrices, and similarity clusters."
Research Foundations,research-foundations,6,reports/by-topic/research-foundations/README.md,data/report-categories/research-foundations.json,"Evidence catalogs, conflicting theories, source catalogs, and research synthesis."
Source Catalogs and Inventories,source-catalogs-and-inventories,6,reports/by-topic/source-catalogs-and-inventories/README.md,data/report-categories/source-catalogs-and-inventories.json,"Source catalogs, inventory files, clone lists, and evidence ledgers used by the investigations."
Repository Deep Dives,repository-deep-dives,1269,reports/by-topic/repository-deep-dives/README.md,data/report-categories/repository-deep-dives.json,"Detailed per-repository reports across core agents, global trending, Korea trending, LLM wiki, and clone structures."
